Customers.id,Order_Items.product_name,Order_Items.qty,Order_Items.product_id,Products.long_description
797,basic rollators green,0.6931471805599453,2310.0,classically designed value priced constructed durable powder coated steel comes standard with convenient storage bag under the seat
3,urinary drain bags,1.6094379124341003,177.0,only medline drain bags have slide tap for easy one handed drainage all drain bags have reinforced hanger with built anti kink drain tube guide and adjustable bed sheet clam drain bags come with option anti reflux device the anti reflux tower provides anti reflux protection without mechanical parts hinder flow the anti reflux device has clear one way mylar valve for visualization urine flow the anti reflux valve flap system minimizes back flow into the drainage tube drain bags available with metal clamp slide tap drainage port various access port designs available
3,sensicare nitrile exam gloves blue large,0.6931471805599453,1.0,sensicare reg nitrile exam gloves feature dependable strength and chemical resistance comfortable and secure even during difficult procedures blue color with textured fingertips for better grip tested for use with chemotherapy drugs
4,basket for button walkers,0.6931471805599453,983.0,this wire basket attaches almost any walker measures holds lbs
5,tens units,0.6931471805599453,991.0,the tens sup sup analog unit uses microprocessor which gives exact dial performance easy operate with the accuracy digital unit the safety amplitude cap protects the amplitude knobs from accidental bumps knob movements maximum full strength power system includes device lead wires four self adhesive reusable electrodes battery hard plastic carrying case and instruction manual power source volt battery modes standard modulate and burst channels dual timer and minutes continuous pulse width microseconds aadjustable pulse rate pulse amplitude each channel waveform asymmetrical biphasic square pulse one year warranty
5,fitright ultra protective underwear large,0.6931471805599453,310.0,fitright ultra protective underwear large
5,sensicare silk nitrile exam gloves dark blue small,0.6931471805599453,799.0,sensicare silk nitrile exam gloves dark blue small
7,aloetouch sensitive personal cleansing baby wipes,0.6931471805599453,1379.0,super soft spunlace wipes are gentle the skin wipes are pre moistened with rinse free formula that cleans moisturizes and soothes the skin formula balanced hypoallergenic and alcohol free wipes are fragrance free single patient use latex free
8,universal raised toilet seat,0.6931471805599453,815.0,universal raised toilet seat has height adjustable brackets that allow the seat fit over almost any toilet brackets are vinyl covered prevent chipping scratching porcelain seat height adjustable with plastic splash guard make cleaning easy weight capacity seat elevation
12,biohazard multipurpose sharps containers red,1.0986122886681098,795.0,these containers are designed for use restricted access areas nestable containers save space and help reduce shipping costs non torturous lid design accommodates variety sharps sizes horizontal drop maximizes use container volume containers lock for final disposal and safe transport brackets available mount containers wall and free counter space
13,protection plus disposable underpads,0.6931471805599453,1430.0,protection plus reg disposable underpads with non woven facing soft against skin absorbent material helps contain fluid and the polypropylene backing helps keep underpad place wide variety sizes and weights meet every budget and need
13,aloetouch select premium spunlace personal cleansing wipes,1.0986122886681098,1385.0,aloetouch reg super soft single patient use spunlace wipes are gentle the skin versatile and convenient wipes are ideal for everyday clean ups and incontinence care wipes are pre moistened with rinse free formula that cleans moisturizes and soothes the skin formula balanced hypoallergenic and alcohol free available with light gender neutral scent fragrance free latex free
13,aloetouch select premium spunlace personal cleansing wipes,1.0986122886681098,1385.0,aloetouch reg super soft single patient use spunlace wipes are gentle the skin versatile and convenient wipes are ideal for everyday clean ups and incontinence care wipes are pre moistened with rinse free formula that cleans moisturizes and soothes the skin formula balanced hypoallergenic and alcohol free available with light gender neutral scent fragrance free latex free
14,geo mattress max,0.6931471805599453,2290.0,geo mattress max
15,suretemp thermometer probe covers welch allyn,0.6931471805599453,2266.0,suretemp thermometer probe covers welch allyn
66,aluminum transport chair with wheels blue,0.6931471805599453,910.0,wheels and handbrakes top lifetime warranty frame powder coated aluminum frame lightweight and durable back folds down for easy storage and transport seat belt for safety comfortable nylon upholstery full length permanent armrest detachable footrests larger rear wheels for better performance uneven outdoor surfaces weighs only lbs
22,ultrasound gel blue,1.0986122886681098,566.0,water soluble non greasy ultrasound gel available squeeze bottles liter jugs that include four empty bottles
23,readybath select medium weight cleansing washcloths,1.0986122886681098,1274.0,readybath reg cloths are pre moistened with rinse free formula that cleans moisturizes conditions and soothes the skin soft balanced formula hypoallergenic and alcohol free medium weight cloths are gentle the skin available with light gender neutral scent fragrance free single use cloths help reduce the chance cross contamination eliminates the need for basins soaps linens and lotions product can used room temperature warmed for patient comfort latex free
23,readybath select medium weight cleansing washcloths,0.6931471805599453,1272.0,readybath reg cloths are pre moistened with rinse free formula that cleans moisturizes conditions and soothes the skin soft balanced formula hypoallergenic and alcohol free medium weight cloths are gentle the skin available with light gender neutral scent fragrance free single use cloths help reduce the chance cross contamination eliminates the need for basins soaps linens and lotions product can used room temperature warmed for patient comfort latex free
23,protection plus disposable underpads,0.6931471805599453,1411.0,protection plus reg disposable underpads with non woven facing soft against skin absorbent material helps contain fluid and the polypropylene backing helps keep underpad place wide variety sizes and weights meet every budget and need
23,readybath select medium weight cleansing washcloths,1.3862943611198906,1274.0,readybath reg cloths are pre moistened with rinse free formula that cleans moisturizes conditions and soothes the skin soft balanced formula hypoallergenic and alcohol free medium weight cloths are gentle the skin available with light gender neutral scent fragrance free single use cloths help reduce the chance cross contamination eliminates the need for basins soaps linens and lotions product can used room temperature warmed for patient comfort latex free
24,aloetouch select premium spunlace personal cleansing wipes,0.6931471805599453,1389.0,aloetouch reg super soft single patient use spunlace wipes are gentle the skin versatile and convenient wipes are ideal for everyday clean ups and incontinence care wipes are pre moistened with rinse free formula that cleans moisturizes and soothes the skin formula balanced hypoallergenic and alcohol free available with light gender neutral scent fragrance free latex free
